Year,Length,Title,Subject
1968,103,Charly,Drama
1973,105,High Plains Drifter,Western
1982,123,Honkytonk Man,Drama
1990,102,Nightbreed,Horror
1987,98,Under the Sun of Satan,Drama
1985,105,Vagabond,Drama
1993,60,Bill Cosby,
1974,89,Monty Python & the Holy Grail,Comedy
1993,65,John Cleese on How to Irritate People,Comedy
1958,101,Matchmaker,
1981,129,For Your Eyes Only,Action
1928,139,Wings,War
1992,106,Medicine Man,Action
1989,,Good Fellas,Drama
1985,119,Kiss of the Spider Woman,Drama
1990,121,Rookie,
1973,129,Sting,
1958,96,Torpedo Run,War
1986,101,Instant Justice,Drama
1990,135,Cyrano de Bergerac,Drama
1948,110,Border Street,Drama
1987,91,Firehouse,Comedy
1965,123,Morituri,Drama
1980,104,From the Life of the Marionettes,Drama
1988,120,Frantic,Mystery
1978,114,Coma,Science Fiction
1988,117,Dead Ringers,Drama
1988,90,Golden Ninja Invasion,Action
1973,122,Exorcist,
1975,112,Alice Doesn't Live Here Anymore,Comedy
1982,94,Eyes of the Amaryllis,
1952,109,What Price Glory?,War
1954,40,Inauguration of the Pleasure Dome,Short
1989,114,School Daze,Comedy
1990,102,End of Innocence,
1971,98,Anderson Tapes,
1983,50,Father Murphy,
1989,80,Skull,Drama
1987,91,Quick & The Dead,
1984,94,Best Defense,Comedy
1984,99,Dreamscape,Science Fiction
1989,125,Black Rain,Action
1963,138,8 1/2,Drama
1935,64,One Frightened Night,Horror
1988,103,Year My Voice Broke,
1966,175,Is Paris Burning?,War
1974,313,QB VII,Drama
1977,104,Island of Dr. Moreau,
1983,104,Beyond the Limit,Drama
1936,84,Secret Agent,Mystery
1986,71,Paramount Comedy Theater: Well-Developed,Comedy
1972,71,Big Bust Out,
1987,119,Fourth Protocol,
1990,107,Gremlins 2: The New Batch,Comedy
1982,92,Fast Times at Ridgemont High,Comedy
1987,,Mannequin,Comedy
1977,91,Rabid,Horror
1990,,Party,
1989,90,Vampire Raiders,
1970,26,Bloopers from Star Trek,Comedy
1943,99,Destroyer,Action
1992,99,Party Girl,Comedy
1989,113,Twin Peaks,Mystery
1987,103,Moonstruck,Comedy
1987,119,Witches of Eastwick,
1979,128,Moonraker,Action
1984,106,Beat Street,Drama
1986,88,Running Out of Luck,Comedy
1989,90,Never on Tuesday,Drama
1975,109,Shampoo,Comedy
1985,111,Power,Drama
1965,122,Darling,Drama
1963,120,Ugly American,
1931,68,Ambassador Bill,Comedy
1931,110,Big Trail,
1967,111,Hombre,Western
1968,103,Coogan's Bluff,Action
1989,91,Penn & Teller Get Killed,Comedy
1987,118,Shy People,Drama
1980,91,It's My Turn,Comedy
1988,119,Dangerous Liaisons,Drama
1990,111,Reversal of Fortune,Drama
1991,119,Meeting Venus,Comedy
1946,105,Tomorrow Is Forever,Drama
1987,101,Like Father Like Son,Comedy
1948,81,Rope,Drama
1962,91,Road to Hong Kong,Comedy
1989,108,Shirley Valentine,Comedy
1992,135,City of Joy,Drama
1966,99,Appaloosa,
1986,88,Seven Minutes in Heaven,Comedy
1991,96,Hearts of Darkness,
1961,66,Tonight for Sure,Comedy
1990,110,White Hunter,
1962,110,Sundays & Cybele,Drama
1989,90,Puppet Master,Science Fiction
1991,95,Night Gallery,Horror
1989,103,Pet Sematary,Horror
1992,60,America's Music,
1977,123,Slap Shot,Comedy
1987,109,O. C. & Stiggs,Comedy
1988,108,A Fish Called Wanda,Comedy
1954,96,A Lesson in Love,Comedy
1957,82,Brink of Life,Drama
1986,120,Betty Blue,Drama
1979,122,Hair,Music
1989,97,National Lampoon's Christmas Vacation,Comedy
1974,124,Dersu Uzala,
1990,106,Alice,Comedy
1980,90,Fifth Floor,
1990,94,Snow Kill,Drama
1971,74,People,
1969,128,True Grit,Western
1942,18,Battle of Midway,
1948,103,Three Godfathers,Western
1965,133,Hush,
1946,110,A Stolen Life,Drama
1939,96,Old Maid,
1950,138,All about Eve,Drama
1986,96,Fly,
1990,89,Quick Change,Comedy
1988,93,Lair of the White Worm,
1989,104,Rainbow,
1956,120,Man Who Knew Too Much,
1992,90,Beauty & the Beast,Science Fiction
1940,120,Foreign Correspondent,Mystery
1949,115,Heiress,
1986,120,Boy Who Could Fly,
1975,89,Terrorists,
1942,85,Wheel of Fortune,Drama
1989,120,Do the Right Thing,Drama
1990,93,Court-Martial of Jackie Robinson,
1967,90,Elvira Madigan,Drama
1992,86,Hurricane Smith,Action
1987,86,Fair Game,Action
1989,95,Rape of the Sabines,
1983,99,Risky Business,Comedy
1980,103,I Love All of You (Je Vous Aime),Drama
1986,108,Love Songs,Drama
1983,114,Le Choix des Armes,Mystery
1981,135,Choice of Arms,Action
1977,107,March or Die,War
1980,135,Last Metro,
1986,120,Jean de Florette,Drama
1989,127,Fat Man & Little Boy,Drama
1990,125,Wild at Heart,Drama
1989,113,Family Business,Action
1988,103,Stand & Deliver,Drama
1981,94,Looker,Science Fiction
1989,89,Fire & Rain,Action
1990,56,Best of Candid Camera,
1940,83,Seven Sinners,Drama
1961,190,Judgment at Nuremberg,Drama
1989,60,Minsky's Follies,Comedy
1990,97,Novice,
1987,130,Wings of Desire,Drama
1991,158,Until the End of the World,Drama
1987,118,Castaway,Drama
